,,,,우리 함께 기도해,하나님은 너를 지키시는 자,,,내 진정 사모하는,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,주께서 높은 보좌에,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F,왕이신 하나님 높임을,,거룩하신 하나님 주께,나 주님의 기쁨 되기 원하네,,,구주와 함께 나 죽었으니,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,나는 주님을 찬양하리라,,나의 모습 나의 소유,마음이 상한 자를,,,내 진정 사모하는,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,주 예수 기뻐 찬양해,,아버지 사랑 내가 노래해,세상 흔들리고,,,목마른 내 영혼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,주 임재하시는 곳에,,예수는 나의 힘이요,약할 때 강함 되시네,,,예수 나를 오라 하네,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,주의 이름 송축하리,,왕이신 나의 하나님,온 맘 다해,,,예수 나를 위하여,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,주를 찬양하며,온 맘 다해 주 사랑하라,,,주 예수 이름 높이어(새찬36),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,하늘에 나는 새도,주님을 더욱 알기 원하네,,,주 예수님 내 맘에 오사,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,햇살보다 밝게 빛나는,,,,큰영광중에 계신주(새찬20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,G,마지막 날에,거룩하신 전능의 주,내 눈 주의 영광을 보네,경배하리 주 하나님,,,갈 길을 밝히 보이시니,주의 영광 빛나니,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,예수보다 더 큰 사랑,경배하리 내 온맘 다해,내 손을 주께 높이 듭니다,나의 가는 길,,,곤한 내 영혼 편히,빛나고높은보좌와(새찬27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,왕 되신 주께 감사하세,나 기뻐하리,내가 주인 삼은,내 눈 주의 영광을 보네,,,구주 예수 의지함이,다찬양하여라(새찬21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,왕의 왕 주의 주,주 날 구원했으니,다 표현 못해도,보라 너희는 두려워 말고,,,기뻐하며 경배하세,전능왕 오셔서(새찬10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,일어나라 주의 백성,생명 주께 있네,모든 상황 속에서,보혈을 지나,,,나 같은 죄인 살리신,영광의 왕께 다 경배하며(새찬67),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,주 신실하심 놀라워,예수 주 승리하심 찬양해,세상의 유혹 시험이,사랑합니다. 나의 예수님,,,나의 생명 되신 주(새찬380),나의 갈길 다가도록(새찬384),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,주님 한분 만으로,주 예수의 이름 높이세,수많은 무리들이 줄지어,십자가를 참으신,,,나의 영원하신 기업(새찬435),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,주의 이름 높이며,주님의 영광 나타나셨네,십자가 그 사랑,아버지 사랑합니다,,,내 구주 예수를,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,하늘에 계신 아버지,찬양 중에 눈을 들어,아름다우신,오직 주님만 나의 맘에 갈급함,,,내 영혼의 그윽이 깊은,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,주님의 임재 앞에서,하늘과 땅 모두 즐거워 하라,영광을 돌리세 우리 하나님께,이 땅 위에 오신 하나님의 본체,,,내 영혼이 은총 입어,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,신실하신 주님,,예수는 왕 예수는 주,,,,내가 매일 기쁘게,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,은혜로다,정결한 마음 주시옵소서,,,슬픈 마음 있는 사람,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,주님의 손으로,주님 마음 내게 주소서,,,예수는 나의 힘이요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,주를 높이기 원합니다,주님을 보게 하소서,,,인애하신 구세주여,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,지존하신 주님 이름 앞에,창조의 아버지,,,주 안에 있는 나에게,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,나 주님의 기쁨되기 원하네,세상 모든 민족이,,,태산을 넘어 험곡에 가도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,영원한 생명의 주님,주 보혈 날 정결케하고,,,찬양하라 복되신 구세주 예수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,예수의 이름으로,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A,살아계신 주,갈급한 내 맘,거룩한 보좌 앞에,나에 안에 거하라,,,갈보리 산 위에,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,영광의 주님 찬양하세,나의 반석이신 하나님,나는 찬양하리라,날 구원하신 주 감사,,,슬픈 마음 있는 사람,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,예수 감사하리 주의 보혈,주 발 앞에 나 엎드려,나의 영혼이 잠잠히,내가 만민 중에,,,마음속에 근심 있는 사람,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,예수 나의 첫 사랑 되시네,주 이름 찬양,내 안에 주를 향한 이 노래,모든 상황 속에서,,,성도여 다 함께,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,예수 열방의 소망,주님 뜻대로 살기로 했네,내가 주앞에 엎드려,우리 때문에 (잊을 수 없네),,,죄에서 자유를 얻게 함은,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,주님 같은 반석은 없도다,찬양하세,모든 능력과 모든 권세,우리 보좌 앞에 모였네,,,주 하나님 지으신 모든,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,주의 집에 영광이 가득해,풀은 마르고,아름답고 놀라운 주 예수,이 세상의 모든 소망 사라질 때,,,하나님의 크신사랑(새찬15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,지금은 엘리야 때처럼,하늘 위에 주님 밖에,아침이 오면 해가 떠오르듯이,전능하신 나의 주 하나님은,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,우리 주안에서 노래하며,온세상 창조주,예수 나의 좋은 치료자,주 발 앞에 무릎 꿇고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,예수 우리 왕이여,주 사랑 놀라운 그 사랑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,온 맘으로 송축하리,주께 가까이,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,우리 죄 위해 죽으신 주,주님 곁으로,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,유월절 어린양의 피로,하나님 어린 양,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
